体验点一级分类,体验点二级分类,中文描述,体验点二级分类英文,英文描述
A,A1,描述A1,A1 EN,Description A1
,A2,描述A2,A2 EN,Description A2
,A3,描述A3,A3 EN,Description A3
B,B1,描述B1,B1 EN,Description B1
,B2,描述B2,B2 EN,Description B2
,B3,描述B3,B3 EN,Description B3
C,C1,描述C1,C1 EN,Description C1
,C2,描述C2,C2 EN,Description C2
D,D1,描述D1,D1 EN,Description D1
E,E1,描述E1,E1 EN,Description E1
,E2,描述E2,E2 EN,Description E2
F,F1,描述F1,F1 EN,Description F1
G,G1,描述G1,G1 EN,Description G1
H,H1,描述H1,H1 EN,Description H1
I,I1,描述I1,I1 EN,Description I1
J,J1,描述J1,J1 EN,Description J1
K,K1,描述K1,K1 EN,Description K1
L,L1,描述L1,L1 EN,Description L1